H_Stride Length,H_Toe Height,H_Stride Duration,H_Swingphase Duration,H_Stancephase Duration,F_Stride Length,F_Toe Height,F_Stride Duration,F_Swingphase Duration,F_Stancephase Duration
10.819,1.2408,1.2625,0.125,1.1375,4.898,1.1703,0.5125,0.15,0.3625
8.928,0.64155,1.325,0.2125,1.1125,3.565,0.85305,0.7625,0.1,0.6625
10.912,0.1833,1.775,0.25,1.525,5.053,1.4664,1.1,0.1375,0.9625
8.835,1.23375,1.45,0.0875,1.3625,1.55,1.2126,0.525,0.275,0.25
8.525,1.2831,1.05,0.1125,0.9375,3.348,1.6356,0.5,0.1375,0.3625
10.54,1.17735,1.325,0.3875,0.9375,2.914,0.5781,0.3125,0.1125,0.2
7.626,0.705,0.85,0.175,0.675,1.953,1.551,0.75,0.1,0.65
7.595,0.5358,1.05,0.125,0.925,3.627,1.02225,0.4625,0.0625,0.4
5.239,1.65675,1.375,0.175,1.2,3.813,1.4946,0.725,0.1,0.625
9.331,1.1139,1.1625,0.125,1.0375,5.084,1.1562,0.8,0.1125,0.6875
9.455,1.6215,1.375,0.1375,1.2375,4.402,0.846,0.7125,0.1,0.6125
7.409,1.34655,0.6375,0.1125,0.525,4.557,0.9165,0.9625,0.125,0.8375
9.424,1.19145,1.475,0.2125,1.2625,5.89,0.7332,0.4375,0.125,0.3125
9.486,0.54285,1.2125,0.1375,1.075,3.255,1.0434,0.6,0.15,0.45
9.92,1.3113,1.4,0.125,1.275,4.34,1.7202,0.825,0.1,0.725
8.525,0.79665,1.5125,0.1625,1.35,4.898,1.05045,0.4875,0.1125,0.375
9.734,1.00815,1.2125,0.15,1.0625,3.658,2.3688,1.0125,0.1125,0.9
10.447,0.9306,1.275,0.1875,1.0875,5.301,0.9588,0.9625,0.075,0.8875
7.223,0.92355,1.1,0.1625,0.9375,6.014,1.551,0.8125,0.1,0.7125
6.913,0.79665,1.45,0.125,1.325,3.41,0.8037,0.3125,0.0625,0.25
10.819,0.987,1.1625,0.1625,1,1.147,0.99405,0.4,0.0625,0.3375
8.277,0.4512,1.225,0.1875,1.0375,4.247,0.55695,0.2,0.0625,0.1375
8.959,1.9176,1.575,0.2875,1.2875,0.961,1.8048,1.0125,0.075,0.9375
8.463,1.12095,1.2875,0.2125,1.075,3.193,2.0022,0.3,0.1375,0.1625
8.773,1.29015,1.4375,0.25,1.1875,3.937,0.7896,0.55,0.0875,0.4625
10.292,0.82485,0.4375,0.1375,0.3,3.534,1.2972,0.6625,0.1,0.5625
5.332,1.1844,1.5625,0.1375,1.425,6.82,0.7896,0.7875,0.1125,0.675
8.835,1.2549,1.125,0.125,1,4.619,1.0575,0.8,0.1,0.7
11.16,0.61335,1.9,0.25,1.65,4.371,0.8883,0.3625,0.05,0.3125
11.036,1.92465,1.275,0.15,1.125,2.914,1.1562,0.6875,0.0625,0.625
8.148,0.420375,1.0625,0.175,0.8875,6.944,1.0716,0.75,0.1375,0.6125
6.1401,1.2685,1.2625,0.225,1.0375,4.309,1.23375,0.4125,0.1,0.3125
9.4866,1.22425,1.5,0.225,1.275,1.953,0.9588,0.4125,0.0875,0.325
8.0316,0.177,1.575,0.1875,1.3875,3.875,1.0575,0.7375,0.0625,0.675
9.021,0.6195,1.0875,0.1375,0.95,4.588,1.2972,1.175,0.0875,1.0875
5.3544,0.848125,1,0.125,0.875,5.084,0.86715,0.2875,0.1,0.1875
8.5554,2.36,1.4125,0.2125,1.2,1.488,0.82485,0.6375,0.0875,0.55
10.5051,1.0915,1.0875,0.175,0.9125,4.185,1.2972,0.8,0.075,0.725
6.7803,1.07675,1.0625,0.15,0.9125,3.751,0.6486,0.4625,0.0875,0.375
4.3941,1.821625,1.05,0.3125,0.7375,4.774,1.4523,0.9625,0.0875,0.875
7.4496,0.98825,1.2875,0.125,1.1625,6.882,1.269,0.675,0.15,0.525
6.5766,1.393875,1.0875,0.2125,0.875,2.759,1.3677,0.575,0.0625,0.5125
7.7988,0.921875,0.6625,0.175,0.4875,3.658,1.19145,0.6375,0.0625,0.575
6.6639,0.7965,1.1,0.15,0.95,5.084,1.3254,0.7625,0.075,0.6875
7.1295,0.3835,1.3125,0.3,1.0125,4.805,1.00815,0.3,0.0875,0.2125
5.9073,2.05025,1.1125,0.15,0.9625,2.387,1.3254,0.6875,0.1,0.5875
6.6057,1.10625,0.9625,0.2125,0.75,3.72,1.1703,0.4,0.1125,0.2875
6.6639,0.9145,1.225,0.2625,0.9625,2.139,1.5228,0.95,0.0875,0.8625
6.5766,1.334875,1.2875,0.2625,1.025,5.332,1.12095,0.3875,0.1,0.2875
