H_Stride Length,H_Toe Height,H_Stride Duration,H_Swingphase Duration,H_Stancephase Duration,F_Stride Length,F_Toe Height,F_Stride Duration,F_Swingphase Duration,F_Stancephase Duration
2.7936,0.16225,0.56,0.08,0.48,4.03,1.0152,0.58,0.08,0.5
6.758,1.50165,0.75,0.125,0.625,3.41,1.6638,0.9625,0.0875,0.875
1.86,0.0987,0.925,0.0875,0.8375,5.084,1.12095,1.425,0.05,1.375
8.742,1.7061,1.15,0.15,1,6.324,1.3818,0.725,0.0625,0.6625
8.277,2.12205,1.125,0.1125,1.0125,3.751,1.8471,0.2625,0.1125,0.15
4.805,1.91055,0.55,0.0875,0.4625,1.054,1.86825,0.45,0.0875,0.3625
7.068,2.1714,1.0375,0.1125,0.925,3.968,2.1996,0.5625,0.1,0.4625
7.657,1.6638,1.3375,0.1375,1.2,3.286,1.36065,0.4625,0.075,0.3875
6.417,0.8601,0.775,0.125,0.65,1.364,0.8742,0.4375,0.075,0.3625
4.743,1.974,0.8375,0.1,0.7375,2.108,0.8178,0.775,0.075,0.7
4.588,1.85415,1.25,0.175,1.075,4.092,0.79665,0.8625,0.075,0.7875
10.447,0.564,0.6625,0.1,0.5625,4.991,1.269,0.625,0.0625,0.5625
5.58,2.0022,0.5,0.1375,0.3625,7.347,1.1139,0.65,0.1375,0.5125
5.673,2.17845,0.5625,0.125,0.4375,2.387,1.38885,0.5,0.05,0.45
7.998,1.0998,0.85,0.1125,0.7375,3.1,0.1833,0.3,0.0375,0.2625
4.092,1.16325,0.8875,0.0875,0.8,4.836,1.5651,0.4875,0.0875,0.4
7.192,1.9458,1.4625,0.15,1.3125,2.635,2.44635,1.275,0.0875,1.1875
7.13,2.3406,1.3,0.1875,1.1125,6.448,1.09275,0.775,0.2875,0.4875
7.13,2.3124,1.225,0.125,1.1,4.805,1.1844,0.5125,0.075,0.4375
4.464,0.9024,0.6,0.075,0.525,2.356,0.3666,0.5,0.0375,0.4625
3.813,1.9035,0.5875,0.275,0.3125,5.549,2.115,0.625,0.075,0.55
7.595,0.2397,0.9625,0.4375,0.525,4.03,1.7766,0.775,0.05,0.725
6.448,1.0716,1,0.175,0.825,7.006,1.44525,0.825,0.1125,0.7125
8.091,1.43115,0.8625,0.1125,0.75,2.883,0.3384,0.275,0.0625,0.2125
5.518,1.0716,0.825,0.0875,0.7375,3.968,0.23265,0.3625,0.025,0.3375
4.898,0.5076,0.65,0.1,0.55,5.766,1.27605,0.725,0.075,0.65
5.487,0.8742,0.7375,0.1125,0.625,3.906,0.4653,0.25,0.0875,0.1625
5.58,1.551,0.9875,0.1125,0.875,1.953,0.47235,0.4125,0.0375,0.375
5.611,0.9447,0.85,0.0875,0.7625,4.805,1.4946,1.85,0.575,1.275
7.75,1.78365,0.725,0.4,0.325,5.208,1.2408,0.8125,0.1375,0.675
